id_camino,id_in_seq,initial_state,current_state,goal_state,out_action,timesteps
133,13,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[17.354469019850942, -7.330224247135625, 9.672324373926898, 0.38084941490855845, -0.09114578473548693, -0.0013078780652999648]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",6.306911625
133,14,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[19.25286889450317, -7.452452251424815, 9.372503791501158, 0.8888240880912315, 0.13528279103993904, 0.035090387564950254]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.05236, 0.0]",6.306911625
133,15,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[21.062960553279634, -7.2601719714523085, 8.866823581002695, 0.5816614452364912, 0.2117188284167544, 0.011337306376518311]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.01745, 0.0]",6.306911625
133,16,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[22.753099227025945, -6.999417007299033, 8.31900896632702, 0.4019504093985334, 0.19112512292099412, -0.003902438045604729]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.06342248374308349]",6.306911625
133,17,"[0, 0, 2.2428117798388447, -0.2503850586734258, -0.11117855158628792, 0]","[23.971175304978306, -6.7540191910516905, 7.670914743109619, 0.4512516704885305, 0.3624859089165054, 0.045295095471512066]","[23.97227675624846, -6.7989398191726735, 0, 0, 0.5235987755982988, 0]",[],6.306911625
134,0,"[0, 0, 2.1714398562479604, 1.193183263970684, 0.5024511394301087, 0]","[0.0, 0.0, 2.1714398562479604, 1.193183263970684, 0.5024511394301087, 0]","[12.17410973976831, -4.5423018099951085, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.0]",6.306911625
134,1,"[0, 0, 2.1714398562479604, 1.193183263970684, 0.5024511394301087, 0]","[0.4925335394290903, -0.11771449382237133, 2.494301178730576, 1.2780437805714773, 0.008919686348623094, -0.10342572139954448]","[12.17410973976831, -4.5423018099951085, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.03171124187154174]",6.306911625
134,2,"[0, 0, 2.1714398562479604, 1.193183263970684, 0.5024511394301087, 0]","[0.9909196192633907, -0.40032929132654055, 2.973920237562191, 0.7640043947472934, -0.30151489895378, -0.017685767665287868]","[12.17410973976831, -4.5423018099951085, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.03171124187154174]",6.306911625
134,3,"[0, 0, 2.1714398562479604, 1.193183263970684, 0.5024511394301087, 0]","[1.5496972114420307, -0.7743381711690503, 3.6993938715855337, 0.5165656141358024, -0.4730899327014382, -0.024239702509318426]","[12.17410973976831, -4.5423018099951085, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
134,4,"[0, 0, 2.1714398562479604, 1.193183263970684, 0.5024511394301087, 0]","[2.2162925134837113, -1.3010014324983896, 4.81009696263187, 0.4719679904847129, -0.6088632250316295, -0.01928622825712996]","[12.17410973976831, -4.5423018099951085, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.0]",6.306911625
134,5,"[0, 0, 2.1714398562479604, 1.193183263970684, 0.5024511394301087, 0]","[3.025110285688544, -2.010958003181153, 5.950276383601477, 0.6071587974307207, -0.6073326428369844, 0.005118268261328156]","[12.17410973976831, -4.5423018099951085, 0, 0, 0.5235987755982988, 0]","[-0.08727, 0.0]",6.306911625
134,6,"[0, 0, 2.1714398562479604, 1.193183263970684, 0.5024511394301087, 0]","[4.037338206865999, -2.815854945346898, 6.966273279525027, 0.6880627743393376, -0.5274790404083501, 0.015663024415314884]","[12.17410973976831, -4.5423018099951085, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.03171124187154174]",6.306911625
134,7,"[0, 0, 2.1714398562479604, 1.193183263970684, 0.5024511394301087, 0]","[5.272759374536499, -3.573218351375038, 7.516215917359293, 0.5796383214074918, -0.37974606903335345, 0.03203922474033831]","[12.17410973976831, -4.5423018099951085, 0, 0, 0.5235987755982988, 0]","[-0.06981, 0.0]",6.306911625
